transaction_id,city_id,card_id,expense_type_id,transaction_date,amount
1048,108,1,14,2025-03-26,106122.98
1049,107,1,14,2025-08-21,29582.05
1050,105,3,16,2025-10-12,140495.86
1051,108,1,13,2025-01-30,25750.69
1052,101,3,11,2025-09-02,11953.6
1053,103,1,15,2025-04-06,14977.28
1054,102,3,16,2025-07-26,97780.66
1055,102,4,15,2025-11-01,28036.13
1056,101,3,14,2025-10-17,67772.28
1057,106,4,12,2025-06-10,69268.17
1058,104,2,12,2025-06-03,69508.6
1059,108,2,11,2025-11-15,5436.76
1060,102,1,12,2025-03-09,51253.5
1061,106,4,12,2025-03-22,38457.4
1062,108,4,16,2025-12-01,32679.39
1063,101,3,15,2025-12-06,32415.73
1064,102,4,12,2025-02-24,29521.66
1065,103,2,15,2025-06-25,25190.41
1066,104,3,13,2025-05-09,51205.98
1067,101,1,14,2025-01-23,91968.59
1068,101,2,12,2025-05-15,65376.1
1069,103,3,15,2025-10-15,73787.41
1070,101,1,16,2025-10-07,106458.37
1071,101,4,15,2025-08-09,56029.42
1072,103,1,13,2025-01-21,105351.38
1073,106,1,12,2025-07-01,68927.59
1074,107,4,16,2025-05-02,20833.27
1075,103,4,12,2025-01-13,101625.08
1076,103,3,13,2025-07-30,84468.44
1077,104,2,16,2025-01-20,17316.81
1078,108,1,14,2025-04-27,36713.46
1079,104,1,12,2025-05-23,41047.38
1080,102,4,13,2025-09-18,36843.11
1081,107,3,15,2025-01-15,35112.71
1082,102,4,13,2025-05-16,22680.94
1083,101,1,14,2025-06-10,36368.09
1084,107,3,15,2025-10-23,17894.2
1085,104,2,16,2025-09-24,44506.68
1086,104,2,11,2025-06-19,118236.64
1087,106,3,11,2025-06-03,75633.55
1088,105,3,13,2025-06-01,41404.28
1089,103,1,16,2025-12-13,115694.56
1090,103,3,13,2025-01-01,41738.68
1091,105,2,14,2025-11-07,84978.19
1092,106,3,14,2025-09-19,69992.67
1093,108,4,16,2025-02-13,21994.88
1094,105,3,16,2025-02-17,63319.51
1095,104,3,12,2025-03-17,88215.8
1096,101,1,14,2025-02-07,62415.07
1097,108,3,16,2025-12-23,58492.02
1098,107,3,12,2025-12-19,20301.01
1099,101,4,11,2025-04-23,83873.97
1100,103,4,16,2025-01-26,52467.33
1101,104,4,11,2025-08-26,46432.72
1102,106,4,14,2025-09-16,62570.49
1103,107,4,15,2025-03-23,45432.6
1104,108,3,12,2025-05-22,93784.83
1105,108,3,13,2025-05-27,44864.12
1106,104,2,13,2025-02-11,104054.29
1107,103,1,14,2025-12-28,72285.17
1108,104,1,14,2025-08-27,35089.66
1109,107,1,14,2025-10-27,40236.32
1110,101,4,15,2025-01-04,39421.7
1111,106,2,14,2025-08-03,96222.14
1112,104,3,13,2025-01-15,44485.96
1113,107,2,16,2025-03-26,86885.35
1114,108,4,15,2025-07-21,54116.72
1115,101,1,14,2025-08-25,19400.97
1116,103,1,14,2025-08-21,34787.06
1117,106,2,14,2025-08-04,30656.45
1118,105,4,14,2025-10-04,7621.2
1119,101,4,13,2025-02-05,26269.65
1120,101,4,12,2025-01-11,24302.68
1121,103,1,14,2025-10-16,69235.53
1122,104,3,13,2025-03-27,82176.46
1123,102,4,12,2025-02-25,123614.39
1124,101,4,15,2025-07-12,70205.08
1125,107,4,12,2025-12-20,14600.56
1126,104,1,13,2025-11-04,95646.41
1127,102,4,15,2025-06-27,84505.92
1128,107,3,11,2025-06-24,51261.1
1129,101,4,14,2025-07-05,17116.74
1130,108,3,14,2025-09-25,22492.69
1131,105,3,15,2025-08-27,83312.48
1132,107,4,15,2025-05-06,29843.92
1133,102,2,14,2025-08-26,27846.0
1134,107,2,14,2025-04-04,95766.28
1135,108,1,13,2025-11-02,35904.63
1136,105,3,15,2025-02-13,117985.42
1137,104,3,14,2025-05-04,56308.2
1138,108,3,14,2025-01-09,45646.16
1139,102,2,14,2025-06-06,72011.08
1140,106,3,15,2025-10-09,36200.65
1141,106,2,14,2025-05-09,30051.11
1142,104,1,12,2025-10-02,33780.48
1143,103,1,16,2025-10-29,49109.84
1144,105,4,12,2025-07-04,32153.18
1145,103,2,16,2025-05-21,54117.89
1146,101,4,15,2025-03-06,31809.58
1147,108,1,11,2025-08-29,58318.94
1148,108,3,12,2025-05-10,123906.52
1149,108,1,11,2025-02-07,41250.57
1150,101,1,15,2025-02-13,118314.76
1151,104,1,14,2025-11-13,61858.48
1152,104,4,14,2025-08-15,45867.64
1153,105,4,14,2025-11-14,32920.43
1154,101,3,16,2025-04-17,16612.72
1155,104,2,11,2025-03-30,21024.67
1156,102,1,14,2025-11-01,45866.62
1157,108,2,12,2025-05-25,31473.47
1158,108,1,12,2025-11-17,111250.3
1159,104,3,15,2025-03-18,26316.49
1160,105,4,11,2025-06-07,12991.12
1161,105,3,14,2025-12-25,71618.7
1162,107,4,15,2025-08-13,54721.44
1163,102,3,14,2025-11-06,77621.08
1164,105,1,12,2025-10-22,122583.83
1165,101,4,16,2025-10-23,90636.1
1166,101,4,12,2025-11-30,47778.98
1167,108,4,12,2025-08-12,142236.11
1168,108,4,14,2025-06-20,36565.72
1169,106,3,12,2025-12-22,34997.15
1170,108,2,14,2025-10-09,89344.51
1171,101,3,13,2025-03-01,28537.41
1172,107,4,11,2025-10-05,67806.75
1173,108,3,12,2025-11-15,52516.07
1174,108,3,11,2025-10-09,24632.61
1175,103,4,14,2025-09-06,101509.04
1176,102,1,16,2025-05-03,62144.85
1177,103,2,11,2025-02-17,56000.69
1178,104,4,11,2025-03-02,46908.84
1179,103,3,16,2025-12-28,31786.62
1180,105,3,14,2025-05-05,130255.32
1181,108,3,14,2025-11-03,23617.66
1182,103,4,13,2025-08-01,83022.18
1183,106,4,15,2025-01-02,29743.55
1184,105,3,15,2025-12-04,58951.71
1185,108,4,14,2025-06-26,54576.47
1186,106,3,15,2025-06-14,39139.11
1187,104,4,12,2025-04-30,58075.33
1188,107,1,16,2025-07-15,48018.2
1189,107,4,16,2025-09-11,130544.03
1190,101,1,15,2025-02-21,35185.29
1191,108,1,14,2025-03-15,6836.65
1192,107,4,12,2025-05-16,14491.76
1193,106,3,14,2025-06-18,66872.85
1194,107,4,16,2025-09-07,75496.11
1195,101,3,12,2025-05-28,64684.89
1196,104,3,14,2025-11-21,129324.33
1197,102,3,16,2025-01-15,32423.06
1198,101,2,11,2025-07-11,31912.4
1199,107,1,15,2025-12-16,42284.77
1200,103,1,11,2025-07-15,62214.53
1201,104,3,15,2025-08-25,19962.64
1202,105,3,16,2025-08-27,5458.43
1203,105,3,12,2025-06-26,14401.12
1204,105,3,14,2025-08-22,71824.86
1205,105,1,14,2025-02-24,96201.51
1206,104,2,13,2025-12-25,58399.45
1207,105,1,16,2025-01-05,40806.73
1208,101,4,16,2025-05-27,50342.67
1209,104,3,13,2025-04-08,25854.26
1210,105,3,16,2025-12-15,82259.82
1211,103,3,16,2025-06-08,66458.91
1212,108,1,13,2025-02-16,77325.3
1213,105,2,14,2025-03-09,22454.25
1214,106,3,13,2025-05-12,92160.11
1215,108,4,13,2025-06-23,79279.44
1216,102,3,11,2025-04-26,19783.64
1217,107,4,15,2025-07-22,38125.99
1218,101,2,11,2025-12-11,46273.18
1219,105,3,16,2025-02-25,115673.92
1220,104,3,15,2025-10-15,102203.46
1221,106,4,12,2025-11-22,66613.98
1222,108,4,13,2025-03-01,66801.99
1223,103,1,11,2025-09-10,32834.86
1224,102,1,15,2025-08-21,19398.29
1225,106,3,16,2025-10-04,72607.59
1226,107,3,16,2025-08-01,20830.94
1227,102,4,15,2025-05-24,41924.84
1228,101,3,12,2025-05-01,45194.09
1229,106,1,16,2025-11-27,38263.65
1230,106,1,13,2025-03-04,23555.08
1231,108,1,12,2025-11-02,65913.12
1232,101,1,13,2025-03-06,27822.21
1233,104,1,15,2025-04-21,24916.2
1234,104,2,12,2025-11-02,85417.46
1235,101,2,12,2025-10-04,134311.27
1236,105,4,11,2025-01-14,68215.6
1237,103,1,12,2025-01-09,59924.61
1238,103,2,12,2025-09-27,78607.17
1239,102,3,14,2025-07-05,45655.68
1240,102,3,12,2025-01-23,117179.77
1241,105,3,11,2025-09-03,13114.85
1242,107,3,11,2025-08-16,49705.26
1243,102,4,13,2025-02-03,62080.39
1244,103,2,16,2025-12-31,59543.31
1245,106,2,15,2025-08-21,53750.37
1246,107,1,16,2025-12-02,17801.32
1247,104,3,12,2025-08-21,42446.28
1248,107,3,11,2025-06-10,33526.09
1249,105,2,12,2025-08-31,71385.28
1250,102,1,11,2025-02-19,16117.72
1251,106,4,15,2025-10-15,13026.98
1252,106,3,14,2025-12-07,37057.11
1253,107,4,16,2025-05-28,12101.54
1254,105,2,15,2025-03-21,51406.28
1255,108,1,11,2025-10-12,36753.14
1256,106,1,13,2025-08-08,58322.79
1257,101,3,16,2025-05-17,91987.75
1258,101,1,16,2025-06-23,81526.57
1259,106,1,12,2025-07-25,57489.35
1260,102,1,16,2025-02-16,126414.09
1261,104,2,14,2025-07-09,35952.82
1262,105,3,15,2025-01-27,60735.67
1263,103,1,15,2025-02-11,11910.13
1264,105,3,14,2025-08-15,49253.03
1265,107,2,15,2025-08-09,17756.16
1266,102,2,16,2025-09-27,60394.82
1267,105,1,14,2025-01-29,132480.03
1268,101,1,12,2025-05-11,82242.16
1269,105,2,11,2025-08-09,50407.84
1270,103,1,15,2025-09-14,73529.41
1271,106,1,16,2025-01-10,11020.14
1272,108,4,13,2025-10-21,58501.54
1273,107,3,14,2025-07-27,31590.93
1274,101,4,12,2025-11-13,87384.44
1275,108,4,13,2025-02-24,15684.53
1276,104,3,14,2025-07-22,53076.71
1277,105,3,12,2025-03-28,35277.62
1278,102,3,11,2025-04-10,53755.29
1279,106,2,16,2025-05-01,89584.28
1280,102,1,12,2025-03-20,22288.72
1281,102,1,16,2025-10-16,50084.56
1282,108,3,15,2025-11-16,66064.32
1283,106,4,16,2025-08-14,33830.66
1284,102,3,16,2025-05-21,32704.9
1285,101,2,11,2025-08-20,33344.9
1286,101,1,13,2025-02-16,14668.54
1287,107,3,15,2025-01-22,119946.78
1288,108,4,15,2025-06-14,67110.68
1289,108,3,11,2025-06-25,45868.46
1290,102,3,12,2025-12-29,10619.56
1291,108,4,15,2025-03-23,52953.15
1292,106,2,13,2025-06-23,40051.28
1293,101,4,16,2025-06-18,35413.66
1294,102,3,14,2025-12-03,31144.44
1295,103,2,15,2025-06-29,68524.37
1296,105,4,16,2025-03-08,68345.7
1297,102,2,14,2025-06-18,66123.28
1298,103,3,16,2025-09-27,142519.13
1299,102,3,14,2025-01-10,51514.02
1300,106,2,12,2025-09-06,36025.2
1301,104,1,12,2025-06-01,20863.2
1302,102,3,15,2025-09-27,92958.39
1303,101,3,15,2025-07-12,19050.09
1304,103,1,16,2025-03-26,82790.21
1305,108,1,13,2025-05-02,70083.46
1306,108,3,16,2025-04-30,84681.67
1307,104,2,14,2025-04-10,106468.74
1308,106,3,15,2025-08-25,132476.73
1309,105,4,15,2025-03-24,53433.4
1310,104,4,12,2025-01-27,99938.24
1311,108,4,15,2025-12-31,113990.96
1312,102,2,12,2025-09-20,30205.44
1313,103,4,11,2025-04-24,117481.07
1314,108,4,11,2025-07-22,42545.71
1315,106,1,11,2025-01-15,38934.82
1316,106,4,16,2025-03-16,66887.57
1317,103,1,14,2025-03-13,72555.08
1318,108,3,11,2025-01-10,106897.7
1319,105,1,12,2025-11-08,55639.54
1320,107,1,13,2025-03-04,27344.35
1321,101,1,16,2025-08-23,86225.44
1322,102,1,14,2025-01-09,60792.65
1323,104,3,13,2025-11-11,43870.83
1324,106,1,14,2025-12-09,23360.56
1325,102,3,13,2025-09-27,13806.62
1326,101,2,14,2025-07-18,11172.25
1327,106,2,11,2025-02-04,37362.93
1328,106,1,16,2025-10-25,64349.68
1329,106,1,13,2025-11-26,55348.19
1330,103,4,16,2025-12-23,47213.17
1331,108,3,12,2025-08-23,13348.61
1332,101,2,11,2025-01-22,85795.24
1333,106,4,15,2025-10-06,41025.48
1334,108,2,16,2025-07-02,23656.16
1335,101,4,13,2025-07-08,30240.48
1336,107,4,16,2025-07-17,44851.36
1337,106,4,14,2025-07-08,72046.68
1338,105,4,16,2025-08-09,43431.13
1339,103,3,13,2025-06-17,16883.58
1340,105,2,15,2025-03-27,75356.58
1341,108,2,11,2025-06-30,76576.27
1342,107,2,11,2025-11-23,14511.65
1343,107,2,16,2025-01-16,70460.63
1344,103,4,16,2025-01-18,84306.85
1345,103,1,16,2025-07-16,38174.81
1346,101,3,16,2025-07-09,45811.57
1347,106,3,11,2025-09-29,58303.61
1348,106,2,16,2025-02-28,30692.26
1349,101,3,14,2025-10-15,52445.84
1350,102,2,13,2025-04-20,73576.72
1351,105,3,14,2025-03-11,24366.88
1352,102,3,16,2025-02-14,45356.91
1353,106,3,16,2025-10-05,13534.45
1354,105,4,12,2025-12-25,74586.74
1355,103,4,15,2025-04-13,26271.2
1356,103,1,14,2025-10-11,8792.5
1357,106,3,15,2025-02-14,18953.85
1358,102,2,16,2025-09-27,75516.27
1359,107,4,15,2025-06-12,14390.66
1360,102,3,16,2025-03-07,52406.88
1361,103,4,12,2025-01-29,44185.49
1362,102,3,13,2025-06-15,21607.41
1363,104,2,15,2025-02-10,104463.95
1364,105,1,15,2025-11-17,30342.22
1365,105,3,11,2025-03-28,50923.15
1366,103,1,15,2025-11-06,75750.2
1367,106,4,15,2025-01-15,10881.45
1368,102,1,16,2025-05-16,82779.14
1369,104,4,14,2025-01-16,63188.43
1370,108,4,15,2025-06-04,31603.97
1371,108,1,16,2025-08-21,41740.27
1372,102,3,12,2025-09-05,44839.05
1373,108,1,15,2025-06-13,20004.45
1374,106,4,12,2025-09-21,81275.64
1375,102,2,14,2025-08-19,18409.15
1376,104,1,11,2025-07-16,31649.01
1377,107,1,12,2025-10-23,89330.17
1378,106,1,12,2025-09-21,50495.09
1379,108,3,13,2025-02-16,50406.35
1380,107,3,12,2025-06-30,25547.84
1381,101,1,14,2025-12-01,60878.93
1382,108,2,11,2025-08-09,95082.78
1383,103,4,16,2025-07-26,38126.21
1384,106,1,11,2025-04-10,57912.75
1385,106,3,11,2025-08-19,39955.5
1386,105,4,15,2025-03-02,70583.29
1387,103,4,14,2025-06-23,38782.63
1388,106,4,12,2025-07-25,61428.02
1389,101,1,12,2025-08-31,74820.36
1390,108,1,15,2025-11-10,19709.7
1391,106,1,15,2025-06-03,78276.42
1392,106,3,15,2025-12-29,53933.33
1393,105,3,11,2025-12-11,38354.01
1394,102,4,15,2025-12-19,33114.22
1395,101,3,13,2025-10-24,124508.3
1396,104,3,15,2025-09-26,48743.77
1397,107,1,16,2025-10-21,27711.44
1398,102,1,14,2025-03-19,33623.06
1399,107,3,14,2025-11-10,50848.13
1400,108,4,16,2025-12-28,76655.29
1401,103,3,15,2025-12-06,34589.98
1402,108,3,13,2025-08-24,120763.58
1403,106,3,16,2025-12-15,82921.29
1404,105,3,12,2025-05-23,120984.42
1405,105,1,13,2025-12-27,82801.44
1406,104,3,14,2025-06-28,33907.29
1407,105,2,15,2025-07-14,70115.48
1408,107,4,12,2025-05-28,31669.08
1409,102,2,14,2025-09-03,67604.32
1410,104,1,15,2025-10-15,30068.91
1411,105,1,15,2025-05-03,78492.96
1412,104,1,15,2025-04-30,26385.29
1413,101,1,13,2025-02-21,75316.29
1414,103,1,15,2025-03-22,129121.54
1415,107,3,14,2025-04-13,48451.83
1416,105,2,16,2025-02-15,12941.23
1417,104,3,16,2025-01-20,95653.64
1418,103,3,12,2025-01-19,113889.46
1419,107,4,12,2025-05-29,114631.04
1420,101,1,15,2025-06-21,61463.67
1421,105,3,16,2025-09-10,55065.77
1422,103,4,14,2025-02-27,30209.21
1423,106,1,14,2025-04-06,66688.91
1424,101,3,13,2025-04-09,57645.22
1425,103,3,16,2025-08-07,104924.97
1426,106,1,16,2025-03-13,16297.19
1427,108,2,12,2025-07-16,4727.21
1428,104,3,13,2025-06-04,119882.28
1429,101,2,13,2025-02-01,72135.34
1430,102,3,12,2025-09-15,41678.68
1431,105,3,16,2025-06-01,109317.29
1432,106,3,12,2025-09-02,120992.29
1433,103,3,15,2025-12-26,38820.47
1434,108,4,16,2025-05-07,91335.36
1435,102,3,15,2025-02-09,73541.65
1436,102,1,15,2025-04-14,106223.24
1437,103,1,15,2025-12-15,45048.97
1438,104,3,14,2025-09-19,15924.85
1439,108,4,14,2025-08-01,19117.57
1440,108,3,15,2025-06-07,46997.93
1441,101,2,11,2025-10-24,79174.2
1442,102,1,13,2025-10-05,73106.54
1443,101,4,11,2025-08-30,133460.12
1444,101,2,12,2025-11-25,82478.85
1445,107,2,14,2025-07-13,45680.45
1446,107,1,16,2025-03-10,100245.03
1447,106,1,15,2025-03-07,40558.78
1448,104,4,11,2025-08-26,129397.45
1449,107,3,12,2025-06-27,28141.08
1450,103,2,16,2025-01-17,81971.9
1451,107,3,11,2025-02-04,27588.03
1452,102,3,14,2025-12-27,60908.4
1453,101,1,11,2025-04-30,41392.01
1454,104,4,11,2025-05-29,19736.56
1455,104,4,16,2025-10-23,58539.41
1456,106,1,12,2025-09-24,133198.7
1457,104,3,13,2025-10-30,13128.56
1458,103,3,14,2025-01-25,56379.26
1459,106,4,16,2025-09-26,39490.75
1460,106,3,14,2025-07-12,20426.32
1461,103,4,14,2025-04-26,27612.36
1462,105,4,12,2025-01-30,88090.28
1463,107,4,15,2025-07-18,53692.46
1464,104,2,13,2025-08-19,66502.06
1465,106,1,16,2025-01-27,91978.48
1466,105,2,15,2025-02-07,61479.18
1467,104,4,15,2025-10-14,76239.85
1468,104,3,13,2025-01-08,32735.82
1469,104,4,16,2025-09-03,18019.39
1470,104,3,16,2025-05-03,24707.79
1471,106,4,14,2025-11-29,47369.53
1472,106,2,13,2025-09-12,51948.59
1473,108,1,16,2025-06-13,47681.5
1474,104,2,14,2025-04-24,11436.32
1475,103,1,15,2025-10-24,114118.52
1476,107,2,12,2025-07-14,35002.44
1477,104,3,16,2025-06-22,116598.34
1478,105,4,14,2025-11-25,124291.52
1479,108,3,16,2025-03-28,86392.19
1480,103,3,14,2025-10-05,23106.34
1481,101,3,11,2025-12-09,117111.43
1482,101,4,14,2025-11-19,19536.43
1483,104,1,12,2025-09-16,5390.43
1484,108,2,15,2025-11-12,65447.86
1485,108,3,11,2025-10-10,4659.28
1486,107,1,15,2025-10-02,75957.79
1487,105,1,16,2025-04-02,69796.3
1488,102,4,15,2025-04-09,20401.94
1489,105,4,13,2025-02-10,86386.11
1490,106,4,14,2025-12-23,57348.79
1491,104,2,11,2025-11-29,67336.95
1492,101,1,14,2025-09-01,39135.51
1493,101,3,16,2025-09-13,22125.39
1494,107,3,13,2025-02-18,57439.83
1495,101,1,16,2025-09-01,102893.7
1496,105,1,11,2025-05-24,71085.6
1497,101,1,13,2025-04-17,6900.43
1498,103,4,16,2025-02-09,90549.92
1499,105,1,12,2025-07-19,57529.34
1500,106,2,16,2025-12-19,19722.55
