transaction_id,transaction_date,customer_id,city,merchant_category,payment_mode,amount
TXN000077,2026-04-18,CUST27586, Hyderabad ,Travel,UPI,61677.5
TXN000078,2026-01-21,CUST66175,Nagpur,Electronics,Credit Card,1509.03
TXN000079,2026-06-24,CUST88641, Pune ,Travel,Credit Card,77307.24
TXN000080,2026-04-12,CUST10304,Mumbai,Electronics,UPI,70866.67
TXN000081,2026-03-01,CUST53865,Delhi,Electronics,Wallet,41294.38
TXN000082,2026-01-04,CUST36583, Vijayawada ,Utilities,NetBanking,4796.09
TXN000083,2026-02-26,CUST78903, Jaipur ,Restaurants,NetBanking,1420.57
TXN000084,2026-05-18,CUST83819,Visakhapatnam,Grocery,Debit Card,64422.57
TXN000085,2026-06-20,CUST35475, Chennai ,Grocery,Debit Card,68699.31
TXN000086,2026-02-16,CUST25880,Kolkata,Fuel,UPI,68094.79
TXN000087,2026-06-07,CUST33309,Indore,Travel,Credit Card,15121.97
TXN000088,2026-06-05,CUST96786,Bengaluru,Electronics,Credit Card,37855.41
TXN000089,2026-02-09,CUST49444,Lucknow,Healthcare,Wallet,11276.66
TXN000090,2026-02-20,CUST78981,Indore,Electronics,Debit Card,81459.05
TXN000091,2026-05-30,CUST40159,delhi,Travel,NetBanking,842.84
TXN000092,2026-04-09,CUST74455,Vijayawada,Utilities,Debit Card,17458.71
TXN000093,2026-03-19,CUST80282, Coimbatore ,Travel,Debit Card,22736.18
TXN000094,2026-05-26,CUST54263,Delhi,Utilities,UPI,34927.88
TXN000095,2026-05-09,CUST43613,Visakhapatnam,Grocery,NetBanking,81577.91
TXN000096,2026-03-19,CUST53023,Indore,Healthcare,Wallet,72575.29
TXN000097,2026-06-06,CUST44295,Hyderabad,Healthcare,Wallet,69117.31
TXN000098,2026-01-06,CUST58822,Hyderabad,Grocery,Credit Card,23287.2
TXN000099,2026-05-20,CUST91053, Visakhapatnam ,Electronics,UPI,9362.79
TXN000100,2026-06-30,CUST31573,Bengaluru,Fuel,Wallet,9733.5
TXN000101,2026-02-23,CUST45268,Hyderabad,Fuel,Credit Card,9735.04
TXN000102,2026-05-13,CUST67154,Kolkata,Healthcare,Wallet,29619.09
TXN000103,2026-03-17,CUST76699,bengaluru,Electronics,NetBanking,39852.76
TXN000104,2026-05-06,CUST81124,Indore,Healthcare,NetBanking,79940.66
TXN000105,2026-05-01,CUST22280,Hyderabad,Utilities,Wallet,63973.89
TXN000106,2026-03-24,CUST56268,Visakhapatnam,Travel,Wallet,20773.09
TXN000107,2026-01-08,CUST26976,Delhi,Travel,UPI,20165.66
TXN000108,2026-01-17,CUST92240,VISAKHAPATNAM,Fashion,NetBanking,24457.96
TXN000109,2026-05-11,CUST67359,Jaipur,Electronics,NetBanking,56235.46
TXN000110,2026-04-03,CUST73284,Pune,Fashion,UPI,15954.81
TXN000111,2026-03-27,CUST37858,Hyderabad,Fuel,UPI,15344.23
TXN000112,2026-04-25,CUST81519,Jaipur,Travel,Debit Card,25451.88
TXN000113,2026-01-23,CUST68720,Coimbatore,Electronics,Wallet,80258.35
TXN000114,2026-05-02,CUST36594,Visakhapatnam,Healthcare,NetBanking,19328.56
TXN000115,2026-05-11,CUST35385,Hyderabad,Travel,Wallet,44733.49
TXN000116,2026-02-09,CUST18800,Hyderabad,Restaurants,UPI,18659.42
TXN000117,2026-03-16,CUST84333,Kolkata,Grocery,Debit Card,65516.1
TXN000118,2026-05-10,CUST90283,jaipur,Fashion,UPI,45747.28
TXN000119,2026-02-17,CUST44911,Coimbatore,Grocery,NetBanking,52414.44
TXN000120,2026-06-29,CUST14046,Lucknow,Restaurants,UPI,24354.33
TXN000121,2026-01-25,CUST57623,Coimbatore,Travel,Credit Card,55955.56
TXN000122,2026-06-19,CUST73589,Jaipur,Utilities,Debit Card,53288.99
TXN000123,2026-01-14,CUST86356,Pune,Electronics,Credit Card,71638.91
TXN000124,2026-04-14,CUST16918, Chennai ,Travel,Debit Card,47371.76
TXN000125,2026-01-09,CUST17163, Jaipur ,Restaurants,UPI,38552.99
TXN000126,2026-02-26,CUST28187,nagpur,Travel,Debit Card,51827.07
TXN000127,2026-04-05,CUST23665,pune,Fashion,UPI,50063.84
TXN000128,2026-02-08,CUST59818,Nagpur,Restaurants,NetBanking,36330.32
TXN000129,2026-04-26,CUST54357,Pune,Healthcare,Wallet,41475.82
TXN000130,2026-06-02,CUST30029,Indore,Electronics,UPI,83904.25
TXN000131,2026-02-05,CUST73196, Pune ,Utilities,UPI,47726.89
TXN000132,2026-03-24,CUST84665,Mumbai,Healthcare,Wallet,54062.0
TXN000133,2026-01-05,CUST86655,Vijayawada,Fashion,Credit Card,58230.52
TXN000134,2026-03-01,CUST85078,Mumbai,Electronics,Wallet,24381.81
TXN000135,2026-05-15,CUST12128,pune,Fuel,NetBanking,18671.02
TXN000136,2026-04-14,CUST83364, Coimbatore ,Utilities,Debit Card,16137.36
TXN000137,2026-01-24,CUST15352,Indore,Grocery,NetBanking,38853.04
TXN000138,2026-04-17,CUST54767,Delhi,Fashion,Debit Card,61483.18
TXN000139,2026-03-20,CUST74400,Hyderabad,Fuel,UPI,3802.21
TXN000140,2026-03-17,CUST43904,jaipur,Grocery,NetBanking,53257.05
TXN000141,2026-05-18,CUST47085, Bengaluru ,Fuel,NetBanking,13505.59
TXN000142,2026-01-27,CUST10370, Chennai ,Travel,Credit Card,11125.23
TXN000143,2026-03-15,CUST49020,hyderabad,Utilities,NetBanking,11710.75
TXN000144,2026-01-24,CUST54613,Indore,Fuel,Wallet,43707.74
TXN000145,2026-01-10,CUST85232,Bengaluru,Grocery,Wallet,13830.68
TXN000146,2026-05-16,CUST39142,Delhi,Grocery,NetBanking,40844.38
TXN000147,2026-02-07,CUST38201,Chennai,Grocery,Wallet,21832.21
TXN000148,2026-03-02,CUST17132,delhi,Fashion,Credit Card,20271.85
TXN000149,2026-06-25,CUST47080,Kolkata,Utilities,Wallet,22595.92
TXN000150,2026-03-22,CUST88349,Kolkata,Restaurants,Debit Card,56603.54
TXN000151,2026-04-21,CUST59244,Delhi,Restaurants,UPI,43934.03
TXN000152,2026-01-17,CUST15768,Kolkata,Restaurants,NetBanking,21562.51
TXN000153,2026-01-11,CUST62906,INDORE,Fashion,Credit Card,52648.95
TXN000154,2026-05-28,CUST46176,Hyderabad,Utilities,Debit Card,16286.16
TXN000155,2026-04-14,CUST57168,Pune,Travel,NetBanking,31452.54
TXN000156,2026-03-30,CUST47529, Lucknow ,Restaurants,Debit Card,12166.02
TXN000157,2026-04-02,CUST65691,Mumbai,Electronics,Credit Card,68131.6
TXN000158,2026-06-26,CUST35634,Nagpur,Restaurants,Debit Card,46249.42
TXN000159,2026-04-22,CUST39760,NAGPUR,Travel,Wallet,73019.7
TXN000160,2026-04-21,CUST15598,Chennai,Fuel,Debit Card,20174.91
TXN000161,2026-03-01,CUST15132,jaipur,Travel,UPI,21188.97
TXN000162,2026-04-17,CUST34569,Vijayawada,Travel,NetBanking,39893.75
TXN000163,2026-05-19,CUST64056,Pune,Travel,NetBanking,49091.08
TXN000164,2026-05-06,CUST38317,Delhi,Grocery,NetBanking,67005.29
TXN000165,2026-03-06,CUST94689,Bengaluru,Fuel,Debit Card,6862.45
TXN000166,2026-05-28,CUST40903,Hyderabad,Travel,NetBanking,80973.06
TXN000167,2026-03-18,CUST22260, Pune ,Fuel,Wallet,48001.61
TXN000168,2026-02-21,CUST75467,Pune,Fashion,Wallet,3414.68
TXN000169,2026-06-29,CUST35809,Chennai,Travel,UPI,40012.76
TXN000170,2026-03-01,CUST48162,delhi,Healthcare,UPI,4303.14
TXN000171,2026-06-14,CUST98202,Visakhapatnam,Electronics,Credit Card,23290.45
TXN000172,2026-02-09,CUST95762, Indore ,Electronics,UPI,13675.08
TXN000173,2026-04-17,CUST56331,Coimbatore,Fashion,Credit Card,48537.18
TXN000174,2026-01-21,CUST29583,Chennai,Fuel,NetBanking,34435.73
TXN000175,2026-02-06,CUST79284,Indore,Electronics,Wallet,7126.0
TXN000176,2026-06-29,CUST48309,Hyderabad,Healthcare,Credit Card,74516.31
TXN000177,2026-03-12,CUST28009,bengaluru,Fuel,UPI,52294.61
TXN000178,2026-01-01,CUST66932,Kolkata,Restaurants,Wallet,32670.15
TXN000179,2026-05-15,CUST55990,Chennai,Healthcare,UPI,42200.41
TXN000180,2026-04-19,CUST38642,Kolkata,Fuel,Debit Card,8398.84
TXN000181,2026-03-28,CUST91217,Hyderabad,Restaurants,Credit Card,71350.26
TXN000182,2026-06-21,CUST33665,Mumbai,Fuel,NetBanking,54924.08
TXN000183,2026-02-20,CUST22498,indore,Fuel,Credit Card,29483.58
TXN000184,2026-06-25,CUST70562, Hyderabad ,Travel,Wallet,56870.81
TXN000185,2026-01-10,CUST97134, Mumbai ,Travel,NetBanking,28791.12
TXN000186,2026-03-10,CUST34165,Vijayawada,Restaurants,Debit Card,24543.4
TXN000187,2026-05-21,CUST24379,Delhi,Grocery,Debit Card,33922.5
TXN000188,2026-03-06,CUST50276,Kolkata,Healthcare,UPI,82410.61
TXN000189,2026-03-14,CUST56850, Nagpur ,Fashion,Debit Card,1815.96
TXN000190,2026-04-10,CUST94101,Vijayawada,Fashion,Credit Card,66777.62
TXN000191,2026-05-28,CUST82695,Lucknow,Restaurants,Wallet,32838.12
TXN000192,2026-04-20,CUST25739, Pune ,Healthcare,NetBanking,60869.01
TXN000193,2026-04-21,CUST58181, Hyderabad ,Travel,Credit Card,57689.04
TXN000194,2026-03-23,CUST62158,Chennai,Restaurants,Debit Card,65126.93
TXN000195,2026-06-22,CUST95057,Lucknow,Electronics,NetBanking,22229.67
TXN000196,2026-06-02,CUST22703,Indore,Grocery,NetBanking,12175.27
TXN000197,2026-01-16,CUST31049, Pune ,Electronics,Wallet,21003.58
TXN000198,2026-04-29,CUST78258,Lucknow,Grocery,NetBanking,22732.18
TXN000199,2026-03-27,CUST56862,Delhi,Electronics,UPI,66119.56
TXN000200,2026-02-15,CUST51491,CHENNAI,Fashion,UPI,81990.97
TXN000201,2026-03-31,CUST48228,lucknow,Electronics,Credit Card,53699.59
TXN000202,2026-04-25,CUST88385,MUMBAI,Restaurants,Wallet,71567.79
TXN000203,2026-06-29,CUST69802,Nagpur,Fashion,Debit Card,78803.95
TXN000204,2026-06-17,CUST31959,Delhi,Utilities,UPI,30118.04
TXN000205,2026-01-12,CUST24304,Pune,Travel,UPI,56549.01
TXN000206,2026-02-04,CUST70904,Kolkata,Healthcare,UPI,47612.75
TXN000207,2026-05-30,CUST87228,Pune,Restaurants,Credit Card,8636.89
TXN000208,2026-01-04,CUST80998, Kolkata ,Grocery,NetBanking,2732.97
TXN000209,2026-06-08,CUST84205, Hyderabad ,Restaurants,NetBanking,2941.69
TXN000210,2026-04-07,CUST67603,Jaipur,Electronics,Debit Card,40611.93
TXN000211,2026-01-31,CUST54903,Chennai,Restaurants,Wallet,30972.69
TXN000212,2026-05-17,CUST83194, Mumbai ,Electronics,Wallet,48301.16
TXN000213,2026-01-01,CUST85866,Mumbai,Fuel,Wallet,458.74
TXN000214,2026-01-30,CUST13530,Chennai,Utilities,Credit Card,16519.62
TXN000215,2026-06-07,CUST68065, Coimbatore ,Fuel,Wallet,83853.52
TXN000216,2026-01-06,CUST48423,Indore,Electronics,NetBanking,80246.16
TXN000217,2026-02-26,CUST89732, Visakhapatnam ,Fashion,UPI,2744.57
TXN000218,2026-04-14,CUST40206,lucknow,Utilities,NetBanking,63144.38
TXN000219,2026-01-21,CUST19624,indore,Healthcare,NetBanking,52049.17
TXN000220,2026-06-01,CUST85290,Chennai,Electronics,Wallet,63358.2
TXN000221,2026-04-24,CUST96724,Visakhapatnam,Grocery,UPI,71053.31
TXN000222,2026-06-02,CUST46369,Vijayawada,Healthcare,NetBanking,56072.05
TXN000223,2026-01-26,CUST43620,Delhi,Travel,Debit Card,46412.2
TXN000224,2026-03-09,CUST30907,Chennai,Travel,UPI,18987.17
TXN000225,2026-06-19,CUST16616,Vijayawada,Grocery,Debit Card,42783.01
TXN000226,2026-06-18,CUST34018,Nagpur,Fuel,Wallet,78793.43
TXN000227,2026-03-25,CUST57245,Bengaluru,Grocery,UPI,70480.62
TXN000228,2026-01-30,CUST58134,Visakhapatnam,Electronics,NetBanking,1413.41
TXN000229,2026-03-30,CUST47607,Bengaluru,Fashion,Debit Card,62275.61
TXN000230,2026-06-10,CUST67048,Indore,Travel,Credit Card,35844.37
TXN000231,2026-03-07,CUST97838,indore,Healthcare,UPI,7881.93
TXN000232,2026-02-13,CUST31264,Chennai,Electronics,Debit Card,6192.85
TXN000233,2026-01-02,CUST18249,VISAKHAPATNAM,Electronics,Debit Card,66277.18
TXN000234,2026-03-13,CUST88772,kolkata,Healthcare,Wallet,4305.88
TXN000235,2026-01-05,CUST82815,Pune,Electronics,NetBanking,6629.84
TXN000236,2026-04-04,CUST55304,Indore,Restaurants,Credit Card,60389.02
TXN000237,2026-02-22,CUST34019,Delhi,Fashion,Credit Card,60839.23
TXN000238,2026-03-07,CUST97195,INDORE,Electronics,UPI,3301.83
TXN000239,2026-02-04,CUST14342,nagpur,Healthcare,Debit Card,61052.05
TXN000240,2026-01-11,CUST88908,Mumbai,Utilities,UPI,20439.93
TXN000241,2026-06-25,CUST79444,chennai,Fuel,UPI,36845.63
TXN000242,2026-02-06,CUST65956,Indore,Fuel,Credit Card,39621.52
TXN000243,2026-01-02,CUST42520,Chennai,Healthcare,Debit Card,43109.96
TXN000244,2026-02-18,CUST83858, Bengaluru ,Fashion,Wallet,44906.23
TXN000245,2026-02-19,CUST19941,Hyderabad,Healthcare,Wallet,59540.87
TXN000246,2026-04-03,CUST61745,Delhi,Fashion,Credit Card,82650.87
TXN000247,2026-05-06,CUST93924,Chennai,Fashion,UPI,64527.47
TXN000248,2026-05-07,CUST76252, Pune ,Restaurants,UPI,70468.47
TXN000249,2026-06-04,CUST51963,CHENNAI,Grocery,Debit Card,25195.39
TXN000250,2026-05-28,CUST69501,Hyderabad,Fashion,NetBanking,63845.82
TXN000251,2026-03-26,CUST67824,Lucknow,Utilities,Debit Card,78914.18
TXN000252,2026-06-15,CUST74863,Nagpur,Travel,Credit Card,71373.07
TXN000253,2026-06-13,CUST58939,PUNE,Fuel,UPI,15326.86
TXN000254,2026-02-06,CUST17230,vijayawada,Travel,NetBanking,74806.63
TXN000255,2026-06-30,CUST28292,Pune,Grocery,UPI,43780.29
TXN000256,2026-04-06,CUST14907,hyderabad,Utilities,UPI,10588.78
TXN000257,2026-06-21,CUST29189,Hyderabad,Electronics,NetBanking,80225.1
TXN000258,2026-03-23,CUST19033,nagpur,Restaurants,NetBanking,17053.82
TXN000259,2026-01-03,CUST59800,Hyderabad,Grocery,Wallet,81562.45
TXN000260,2026-04-02,CUST21792,CHENNAI,Grocery,Debit Card,2697.05
TXN000261,2026-03-01,CUST31618, Bengaluru ,Fuel,Debit Card,83327.44
TXN000262,2026-06-16,CUST78719,Delhi,Fuel,Debit Card,11001.45
TXN000263,2026-06-13,CUST56123,Nagpur,Fuel,UPI,66004.34
TXN000264,2026-01-28,CUST52353,Vijayawada,Restaurants,UPI,3491.86
TXN000265,2026-02-08,CUST93144,HYDERABAD,Restaurants,Credit Card,36271.04
TXN000266,2026-04-04,CUST99184,Hyderabad,Restaurants,NetBanking,75945.21
TXN000267,2026-02-12,CUST22723,Hyderabad,Fuel,NetBanking,56345.35
TXN000268,2026-02-03,CUST36461,Jaipur,Electronics,Credit Card,82993.66
TXN000269,2026-03-12,CUST94411,CHENNAI,Fuel,Credit Card,80106.03
TXN000270,2026-01-28,CUST79884,Bengaluru,Utilities,NetBanking,60791.08
TXN000271,2026-04-23,CUST56868,Pune,Fuel,Debit Card,1796.52
TXN000272,2026-02-23,CUST46513, Visakhapatnam ,Fashion,Debit Card,73579.14
TXN000273,2026-05-23,CUST91831,COIMBATORE,Restaurants,Wallet,77951.08
TXN000274,2026-02-07,CUST27781,bengaluru,Travel,NetBanking,18093.24
TXN000275,2026-03-02,CUST87521,Lucknow,Electronics,UPI,37560.95
TXN000276,2026-04-29,CUST98773, Hyderabad ,Restaurants,Debit Card,37044.18
TXN000277,2026-05-05,CUST22012,visakhapatnam,Travel,Debit Card,30517.65
TXN000278,2026-03-09,CUST89571,Visakhapatnam,Grocery,NetBanking,1110.82
TXN000279,2026-02-28,CUST28800,Delhi,Fashion,Wallet,58076.6
TXN000280,2026-06-15,CUST48048,Jaipur,Travel,UPI,29399.39
TXN000281,2026-05-19,CUST77278,Coimbatore,Travel,UPI,45929.7
TXN000282,2026-06-19,CUST57929, Lucknow ,Utilities,Debit Card,12035.64
TXN000283,2026-06-20,CUST11756,VIJAYAWADA,Utilities,Wallet,82900.73
TXN000284,2026-06-09,CUST33065,Coimbatore,Utilities,Wallet,41856.11
TXN000285,2026-05-19,CUST68367,Visakhapatnam,Electronics,UPI,14500.49
TXN000286,2026-06-14,CUST61905,KOLKATA,Grocery,UPI,29403.07
TXN000287,2026-01-01,CUST85844,nagpur,Fuel,NetBanking,654.81
TXN000288,2026-06-16,CUST83101,Pune,Electronics,Credit Card,14534.34
TXN000289,2026-02-23,CUST47321,Hyderabad,Healthcare,UPI,25819.6
TXN000290,2026-06-14,CUST15390,Nagpur,Healthcare,Credit Card,36833.37
TXN000291,2026-02-15,CUST66255,Lucknow,Fashion,UPI,44084.48
TXN000292,2026-06-30,CUST25093,Mumbai,Travel,Credit Card,45348.23
TXN000293,2026-06-18,CUST70078,mumbai,Restaurants,NetBanking,75817.59
TXN000294,2026-02-05,CUST44473,Coimbatore,Fashion,Wallet,59065.95
TXN000295,2026-06-10,CUST39241,Visakhapatnam,Utilities,UPI,48754.83
TXN000296,2026-01-13,CUST24312,Mumbai,Utilities,NetBanking,14573.77
TXN000297,2026-04-03,CUST39765,Visakhapatnam,Travel,Credit Card,27146.87
TXN000298,2026-04-09,CUST93552,Coimbatore,Grocery,Wallet,20371.27
TXN000299,2026-04-25,CUST96438,NAGPUR,Fuel,Credit Card,62735.87
TXN000300,2026-01-26,CUST44774,HYDERABAD,Healthcare,Credit Card,76221.92
TXN000301,2026-01-09,CUST72554,Bengaluru,Restaurants,NetBanking,3158.05
TXN000302,2026-04-21,CUST85280,Visakhapatnam,Fashion,Wallet,38570.9
TXN000303,2026-05-07,CUST90268,HYDERABAD,Electronics,Wallet,65196.73
TXN000304,2026-01-04,CUST56259,Indore,Restaurants,UPI,46042.58
TXN000305,2026-05-22,CUST85067,Jaipur,Grocery,NetBanking,13626.81
TXN000306,2026-06-30,CUST32063,Nagpur,Fashion,Wallet,83962.18
TXN000307,2026-01-17,CUST58335,HYDERABAD,Electronics,Debit Card,43161.07
TXN000308,2026-04-11,CUST89536,Delhi,Travel,Wallet,2598.28
TXN000309,2026-03-31,CUST76114,Indore,Electronics,Wallet,66238.14
TXN000310,2026-01-05,CUST92456,Nagpur,Fuel,NetBanking,4328.87
TXN000311,2026-01-31,CUST85903,vijayawada,Restaurants,Wallet,71088.34
TXN000312,2026-01-23,CUST68906,Jaipur,Healthcare,Credit Card,63724.27
TXN000313,2026-04-02,CUST90948,coimbatore,Fuel,Wallet,61462.24
TXN000314,2026-03-07,CUST81694,Hyderabad,Healthcare,NetBanking,53617.89
TXN000315,2026-02-09,CUST67006,bengaluru,Grocery,Debit Card,12694.52
TXN000316,2026-04-05,CUST92732, Coimbatore ,Fashion,Credit Card,52901.27
TXN000317,2026-03-20,CUST16793,Nagpur,Restaurants,Credit Card,31923.33
TXN000318,2026-03-04,CUST79974,KOLKATA,Electronics,Credit Card,248.03
TXN000319,2026-02-21,CUST39741,jaipur,Fuel,Debit Card,7149.57
TXN000320,2026-06-26,CUST77903,vijayawada,Utilities,Credit Card,61708.71
TXN000321,2026-04-23,CUST42922,Delhi,Utilities,Wallet,48606.26
TXN000322,2026-04-05,CUST94676,nagpur,Grocery,Credit Card,32582.72
TXN000323,2026-03-01,CUST54783,BENGALURU,Travel,Credit Card,71938.81
TXN000324,2026-01-31,CUST85997,Lucknow,Healthcare,NetBanking,68046.38
TXN000325,2026-02-14,CUST91529,pune,Restaurants,UPI,51351.37
TXN000326,2026-02-10,CUST82388,CHENNAI,Restaurants,UPI,84956.68
TXN000327,2026-01-19,CUST74619,Visakhapatnam,Fuel,Wallet,10991.57
TXN000328,2026-05-31,CUST58442,vijayawada,Restaurants,Credit Card,78304.25
TXN000329,2026-01-29,CUST78142,Jaipur,Fuel,Wallet,25489.85
TXN000330,2026-03-19,CUST63103,Lucknow,Utilities,NetBanking,2461.55
TXN000331,2026-04-12,CUST22624,Lucknow,Restaurants,UPI,34945.97
TXN000332,2026-04-13,CUST53914,pune,Travel,Wallet,58872.01
TXN000333,2026-04-06,CUST26139,Chennai,Fuel,UPI,35547.63
TXN000334,2026-06-20,CUST12781,Hyderabad,Electronics,Credit Card,23168.5
TXN000335,2026-06-25,CUST67083, Pune ,Grocery,UPI,82880.79
TXN000336,2026-03-10,CUST28635,JAIPUR,Grocery,Wallet,52578.63
TXN000337,2026-02-03,CUST10707,Coimbatore,Restaurants,UPI,65461.12
TXN000338,2026-05-06,CUST24106,Mumbai,Fuel,Debit Card,30643.51
TXN000339,2026-01-23,CUST12960,mumbai,Restaurants,Wallet,25033.4
TXN000340,2026-04-16,CUST78043,Indore,Utilities,UPI,68770.13
TXN000341,2026-06-20,CUST38727,BENGALURU,Fuel,NetBanking,12077.07
TXN000342,2026-02-21,CUST47605,Pune,Fashion,Debit Card,53454.29
