transaction_id,transaction_date,city,customer_id,card_type,expense_type,gender,amount,payment_mode,merchant,merchant_category,approval_status
s100159,2026-05-27, delhi ,C58140,MasterCard,Groceries,Female,1688.53,UPI, SWIGGY ,Food,Declined
s100160,2026-02-15, delhi ,C91614,Amex,Dining,Female,10013.91,UPI, DMART ,Retail,Declined
s100161,2026-04-22, mumbai ,C80263,MasterCard,Dining,Female,10255.25,UPI, HPCL ,E-commerce,Approved
s100162,2026-01-21, hyderabad ,C20259,MasterCard,Groceries,Male,6210.18,NetBanking, HPCL ,Travel,Approved
s100163,2026-06-14, delhi ,C33403,Visa,Travel,Female,18453.62,Credit, ZOMATO ,Travel,Declined
s100164,2026-04-27, delhi ,C83911,MasterCard,Shopping,Female,22150.71,Credit, RELIANCE ,Travel,Approved
s100165,2026-04-06, delhi ,C38197,Visa,Shopping,Male,23462.03,NetBanking, IRCTC ,Travel,Approved
s100166,2026-01-17, pune ,C18279,Amex,Groceries,Female,19764.86,UPI, AMAZON ,Food,Approved
s100167,2026-03-07, vizag ,C23370,RuPay,Dining,Female,10438.94,Credit, AMAZON ,Fuel,Approved
s100168,2026-06-20, bengaluru ,C15098,MasterCard,Fuel,Male,4569.82,Credit, RELIANCE ,Retail,Declined
s100169,2026-04-04, bengaluru ,C33444,Visa,Dining,Male,3496.32,Credit, ZOMATO ,Travel,Approved
s100170,2026-03-09, chennai ,C31531,Amex,Groceries,Male,10370.26,NetBanking, RELIANCE ,E-commerce,Declined
s100171,2026-03-09, pune ,C36596,Amex,Fuel,Female,16185.45,UPI, ZOMATO ,E-commerce,Declined
s100172,2026-05-06, vizag ,C74715,Visa,Fuel,Male,16007.79,NetBanking, DMART ,Retail,Approved
s100173,2026-04-19, delhi ,C34405,MasterCard,Groceries,Female,4835.33,UPI, SWIGGY ,Food,Approved
s100174,2026-02-23, mumbai ,C60711,MasterCard,Fuel,Male,21922.03,UPI, HPCL ,E-commerce,Declined
s100175,2026-03-05, chennai ,C36247,Visa,Travel,Female,8584.29,Credit, HPCL ,Fuel,Declined
s100176,2026-04-22, chennai ,C92575,Amex,Fuel,Male,21983.17,UPI, IOCL ,Travel,Approved
s100177,2026-06-23, mumbai ,C11906,Amex,Shopping,Male,15032.71,UPI, AMAZON ,Food,Declined
s100178,2026-05-07, kolkata ,C84645,MasterCard,Utilities,Male,24964.63,NetBanking, DMART ,Utilities,Declined
s100179,2026-05-24, vizag ,C45765,Amex,Fuel,Male,5938.62,NetBanking, DMART ,Fuel,Approved
s100180,2026-01-10, chennai ,C47889,Visa,Travel,Female,2915.66,UPI, IOCL ,Retail,Declined
s100181,2026-02-23, pune ,C36786,MasterCard,Groceries,Female,953.09,NetBanking, IOCL ,Food,Declined
s100182,2026-05-09, kolkata ,C79866,RuPay,Shopping,Female,5392.01,Credit, IOCL ,Retail,Approved
s100183,2026-01-16, kolkata ,C56469,Visa,Travel,Female,21075.11,Credit, IOCL ,Utilities,Declined
s100184,2026-06-25, delhi ,C36339,Visa,Fuel,Female,8906.3,UPI, DMART ,Utilities,Approved
s100185,2026-02-22, hyderabad ,C96659,MasterCard,Dining,Female,14374.43,Credit, ZOMATO ,Fuel,Declined
s100186,2026-06-06, vizag ,C89679,MasterCard,Travel,Female,5174.87,Credit, IRCTC ,E-commerce,Declined
s100187,2026-05-26, delhi ,C53702,MasterCard,Utilities,Male,4303.69,NetBanking, IOCL ,E-commerce,Declined
s100188,2026-02-05, hyderabad ,C91863,Visa,Shopping,Male,17085.0,Credit, DMART ,Travel,Approved
s100189,2026-03-19, bengaluru ,C48248,Visa,Travel,Male,14003.06,Credit, DMART ,Utilities,Approved
s100190,2026-06-22, delhi ,C72809,RuPay,Utilities,Male,24259.87,NetBanking, IOCL ,Retail,Declined
s100191,2026-03-07, bengaluru ,C33937,MasterCard,Dining,Female,11360.65,UPI, SWIGGY ,Utilities,Approved
s100192,2026-06-29, chennai ,C47405,RuPay,Groceries,Female,426.48,UPI, RELIANCE ,Travel,Approved
s100193,2026-05-18, bengaluru ,C69447,RuPay,Utilities,Female,3541.97,NetBanking, IRCTC ,Fuel,Declined
s100194,2026-05-16, pune ,C92017,MasterCard,Dining,Female,12627.54,Credit, AMAZON ,Fuel,Approved
s100195,2026-05-21, bengaluru ,C31687,MasterCard,Travel,Female,9806.09,UPI, RELIANCE ,Fuel,Approved
s100196,2026-06-04, vizag ,C10209,MasterCard,Fuel,Female,14714.28,Credit, IOCL ,Utilities,Approved
s100197,2026-04-02, bengaluru ,C99953,RuPay,Shopping,Male,1962.55,UPI, IRCTC ,Retail,Approved
s100198,2026-04-23, hyderabad ,C27730,RuPay,Groceries,Male,12521.55,UPI, AMAZON ,Fuel,Declined
s100199,2026-01-14, delhi ,C94825,MasterCard,Dining,Female,23033.65,NetBanking, HPCL ,Retail,Declined
s100200,2026-02-20, vizag ,C21326,Amex,Groceries,Male,17147.82,UPI, IRCTC ,Retail,Approved
s100201,2026-01-07, hyderabad ,C36174,MasterCard,Travel,Female,14427.06,UPI, SWIGGY ,Food,Declined
s100202,2026-01-18, mumbai ,C40918,Visa,Fuel,Female,2376.83,UPI, IRCTC ,Fuel,Declined
s100203,2026-05-19, delhi ,C30694,MasterCard,Dining,Female,5017.69,UPI, SWIGGY ,Retail,Approved
s100204,2026-06-01, hyderabad ,C37046,RuPay,Utilities,Male,6244.43,UPI, IOCL ,Utilities,Declined
s100205,2026-02-20, kolkata ,C66636,Amex,Fuel,Male,10083.39,UPI, IRCTC ,Travel,Approved
s100206,2026-03-19, pune ,C32120,MasterCard,Shopping,Male,5392.33,UPI, IRCTC ,Travel,Declined
s100207,2026-02-17, vizag ,C90260,MasterCard,Utilities,Female,14942.62,UPI, ZOMATO ,Food,Declined
s100208,2026-03-22, mumbai ,C94057,MasterCard,Travel,Male,3070.2,NetBanking, HPCL ,E-commerce,Declined
s100209,2026-03-17, hyderabad ,C66782,RuPay,Fuel,Male,4987.34,NetBanking, DMART ,Travel,Declined
s100210,2026-01-11, chennai ,C50392,RuPay,Dining,Male,307.73,UPI, ZOMATO ,E-commerce,Approved
s100211,2026-04-13, mumbai ,C28578,Amex,Utilities,Male,23969.95,NetBanking, SWIGGY ,Fuel,Approved
s100212,2026-03-06, bengaluru ,C12164,RuPay,Groceries,Female,23718.76,NetBanking, IOCL ,Retail,Declined
s100213,2026-03-18, chennai ,C70877,MasterCard,Utilities,Male,4768.69,UPI, SWIGGY ,Utilities,Declined
s100214,2026-03-14, mumbai ,C60792,Amex,Dining,Female,15318.93,UPI, HPCL ,Utilities,Declined
s100215,2026-04-10, vizag ,C92519,MasterCard,Dining,Female,17760.47,Credit, DMART ,Utilities,Approved
s100216,2026-02-22, mumbai ,C27379,Amex,Shopping,Male,20313.41,UPI, AMAZON ,Retail,Declined
s100217,2026-06-20, vizag ,C25810,Amex,Fuel,Female,21432.48,UPI, DMART ,Fuel,Declined
s100218,2026-01-31, delhi ,C70248,RuPay,Dining,Male,24369.33,NetBanking, AMAZON ,Retail,Declined
s100219,2026-05-30, pune ,C29691,Amex,Fuel,Female,12934.33,Credit, RELIANCE ,Fuel,Declined
s100220,2026-05-25, pune ,C62949,Visa,Travel,Male,18857.78,NetBanking, IOCL ,Food,Approved
s100221,2026-06-22, pune ,C90610,MasterCard,Shopping,Male,4034.8,UPI, HPCL ,Fuel,Approved
s100222,2026-05-21, pune ,C15673,Amex,Shopping,Male,4861.64,NetBanking, IRCTC ,Travel,Declined
s100223,2026-01-19, bengaluru ,C34118,Visa,Groceries,Female,5393.03,NetBanking, RELIANCE ,Retail,Declined
s100224,2026-06-13, pune ,C22761,MasterCard,Shopping,Male,24540.63,Credit, HPCL ,Retail,Approved
s100225,2026-02-20, hyderabad ,C36824,MasterCard,Travel,Male,5642.44,NetBanking, ZOMATO ,E-commerce,Approved
s100226,2026-06-28, bengaluru ,C41600,Amex,Utilities,Female,22991.78,Credit, HPCL ,Fuel,Approved
s100227,2026-04-23, vizag ,C61120,Amex,Shopping,Male,6222.01,Credit, SWIGGY ,Retail,Approved
s100228,2026-06-01, kolkata ,C63490,RuPay,Fuel,Female,6467.73,UPI, IOCL ,Travel,Declined
s100229,2026-03-11, mumbai ,C13098,Amex,Groceries,Male,9614.89,Credit, SWIGGY ,Utilities,Declined
s100230,2026-05-25, bengaluru ,C87018,Amex,Groceries,Male,4412.1,NetBanking, DMART ,E-commerce,Approved
s100231,2026-01-03, hyderabad ,C77858,RuPay,Groceries,Male,14666.8,UPI, DMART ,Fuel,Approved
s100232,2026-01-20, vizag ,C87448,Amex,Groceries,Male,626.49,UPI, AMAZON ,Food,Declined
s100233,2026-05-27, pune ,C16920,RuPay,Travel,Male,21187.98,Credit, HPCL ,E-commerce,Approved
s100234,2026-05-27, hyderabad ,C28623,RuPay,Utilities,Female,19078.46,Credit, IOCL ,E-commerce,Declined
s100235,2026-06-01, mumbai ,C99634,Amex,Groceries,Female,20788.58,NetBanking, ZOMATO ,E-commerce,Declined
s100236,2026-03-01, chennai ,C41526,Visa,Groceries,Female,447.29,NetBanking, ZOMATO ,Food,Declined
s100237,2026-01-20, hyderabad ,C41837,Amex,Dining,Male,4462.79,NetBanking, ZOMATO ,Fuel,Declined
s100238,2026-02-01, pune ,C26859,RuPay,Shopping,Male,13207.03,Credit, IOCL ,Retail,Declined
s100239,2026-05-07, bengaluru ,C25547,Amex,Travel,Female,17892.54,UPI, SWIGGY ,Food,Approved
