transaction_id,transaction_date,branch_id,terminal_id,customer_id,card_type,merchant_category,city,amount,currency,status,network,auth_code,batch_id,employee_id
TXN200021,2026-07-07 11:45:00,BR103,POS1163,C274402,Mastercard,Dining,Delhi,65359.78,INR,Declined,NPCI,312699,B16,E1144
TXN200022,2026-07-01 13:00:00,BR118,POS1189,C518167,Mastercard,Fashion,Bengaluru,19293.57,INR,Approved,NPCI,202830,B15,E1249
TXN200023,2026-07-12 12:16:00,BR128,POS1111,C365186,Visa,ATM,Hyderabad,42105.95,INR,Reversed,NPCI,534426,B10,E1284
TXN200024,2026-07-29 13:23:00,BR106,POS1151,C854126,RuPay,Utilities,Kolkata,36307.53,INR,Approved,NPCI,583856,B05,E1309
TXN200025,2026-07-03 22:12:00,BR122,POS1129,C573169,RuPay,Travel,Bengaluru,36674.9,INR,Approved,MC,862650,B25,E1067
TXN200026,2026-07-16 20:40:00,BR123,POS1106,C695316,Mastercard,Fuel,Kolkata,17496.4,INR,Approved,VISA,868605,B11,E1274
TXN200027,2026-07-24 00:03:00,BR111,POS1004,C805606,RuPay,Electronics,Chennai,42037.75,INR,Approved,VISA,911296,B03,E1029
TXN200028,2026-07-30 17:07:00,BR134,POS1123,C930138,Mastercard,Utilities,Bengaluru,68106.73,INR,Approved,MC,640494,B06,E1291
TXN200029,2026-07-12 01:36:00,BR135,POS1084,C587322,Mastercard,Electronics,Delhi,39562.15,INR,Approved,NPCI,887274,B21,E1035
TXN200030,2026-07-29 17:45:00,BR121,POS1054,C384182,Mastercard,Travel,Hyderabad,56176.16,INR,Approved,MC,559767,B17,E1302
TXN200031,2026-07-14 01:01:00,BR109,POS1143,C891021,Visa,Fashion,Chennai,19851.96,INR,Approved,MC,278574,B11,E1177
TXN200032,2026-07-19 07:07:00,BR147,POS1042,C627806,Mastercard,Pharmacy,Kolkata,51896.39,INR,Declined,VISA,654974,B16,E1134
TXN200033,2026-07-26 08:37:00,BR115,POS1099,C176189,Visa,Electronics,Kolkata,31433.74,INR,Declined,NPCI,190431,B05,E1023
TXN200034,2026-07-01 02:13:00,BR105,POS1051,C436752,RuPay,Pharmacy,Kolkata,13569.3,INR,Declined,MC,316375,B08,E1125
TXN200035,2026-07-23 19:38:00,BR149,POS1115,C320695,Visa,Fashion,Hyderabad,63106.25,INR,Declined,VISA,257777,B06,E1066
TXN200036,2026-07-04 01:36:00,BR115,POS1140,C128320,Mastercard,Fashion,Pune,15149.24,INR,Approved,NPCI,556168,B17,E1222
TXN200037,2026-07-27 06:13:00,BR108,POS1127,C895905,Visa,Pharmacy,Bengaluru,27860.49,INR,Approved,MC,766809,B02,E1120
TXN200038,2026-07-14 14:02:00,BR140,POS1069,C466026,Visa,Grocery,Pune,28579.72,INR,Approved,NPCI,450078,B30,E1398
TXN200039,2026-07-22 11:09:00,BR139,POS1188,C248662,Visa,Electronics,Pune,24950.04,INR,Approved,VISA,875960,B08,E1055
TXN200040,2026-07-09 10:21:00,BR142,POS1075,C844364,RuPay,Electronics,Hyderabad,42802.98,INR,Approved,MC,887062,B16,E1304
TXN200041,2026-07-24 07:14:00,BR114,POS1099,C254890,Mastercard,Electronics,Kolkata,18210.17,INR,Reversed,VISA,332042,B04,E1239
TXN200042,2026-07-29 23:52:00,BR140,POS1027,C121000,Mastercard,ATM,Mumbai,29297.1,INR,Approved,MC,890551,B06,E1133
TXN200043,2026-07-02 15:24:00,BR111,POS1116,C508763,Mastercard,Utilities,Mumbai,45506.88,INR,Approved,MC,252001,B10,E1322
TXN200044,2026-07-10 01:46:00,BR129,POS1144,C176479,RuPay,Dining,Pune,31878.53,INR,Reversed,MC,912360,B22,E1281
TXN200045,2026-07-19 07:10:00,BR108,POS1120,C544796,RuPay,Travel,Visakhapatnam,13006.04,INR,Declined,VISA,990683,B27,E1252
TXN200046,2026-07-15 01:20:00,BR117,POS1063,C701057,Visa,Fashion,Hyderabad,2706.53,INR,Approved,VISA,114926,B09,E1348
TXN200047,2026-07-03 17:49:00,BR127,POS1167,C565048,Mastercard,Fashion,Mumbai,17041.98,INR,Approved,NPCI,301058,B27,E1192
TXN200048,2026-07-19 16:00:00,BR136,POS1175,C751425,RuPay,Fuel,Delhi,66772.58,INR,Reversed,NPCI,707494,B31,E1220
TXN200049,2026-07-22 14:02:00,BR124,POS1055,C661762,RuPay,Fashion,Bengaluru,68311.95,INR,Approved,VISA,356772,B11,E1118
TXN200050,2026-07-14 07:43:00,BR129,POS1156,C310992,RuPay,Fashion,Visakhapatnam,6914.49,INR,Approved,NPCI,287760,B23,E1348
TXN200051,2026-07-16 14:06:00,BR138,POS1189,C820346,Visa,Grocery,Pune,16047.77,INR,Approved,VISA,849211,B11,E1124
TXN200052,2026-07-15 13:39:00,BR146,POS1004,C801225,Visa,Travel,Bengaluru,57356.33,INR,Approved,MC,994338,B28,E1308
TXN200053,2026-07-07 14:25:00,BR132,POS1106,C630581,Visa,ATM,Bengaluru,5578.24,INR,Approved,VISA,830695,B28,E1340
TXN200054,2026-07-27 13:10:00,BR144,POS1151,C237380,RuPay,Electronics,Hyderabad,69397.32,INR,Approved,VISA,586882,B04,E1112
TXN200055,2026-07-11 07:04:00,BR149,POS1176,C467575,RuPay,Electronics,Chennai,30855.1,INR,Reversed,VISA,268825,B18,E1242
TXN200056,2026-07-30 12:52:00,BR105,POS1025,C545070,Mastercard,Grocery,Hyderabad,54268.37,INR,Approved,MC,310834,B05,E1018
TXN200057,2026-07-09 06:30:00,BR127,POS1064,C860274,Mastercard,Fuel,Visakhapatnam,60152.7,INR,Approved,VISA,896307,B18,E1018
TXN200058,2026-07-25 08:26:00,BR146,POS1152,C478152,Mastercard,Utilities,Mumbai,58388.69,INR,Approved,MC,278217,B03,E1080
TXN200059,2026-07-06 11:42:00,BR134,POS1187,C323221,Mastercard,Travel,Visakhapatnam,45069.21,INR,Approved,MC,191172,B15,E1181
TXN200060,2026-07-04 22:10:00,BR110,POS1107,C508858,Mastercard,Dining,Mumbai,36435.51,INR,Approved,NPCI,441219,B09,E1324
TXN200061,2026-07-27 09:24:00,BR150,POS1119,C582521,Mastercard,ATM,Visakhapatnam,27242.97,INR,Approved,NPCI,622181,B02,E1127
TXN200062,2026-07-18 14:55:00,BR136,POS1022,C515947,Mastercard,Travel,Mumbai,65183.67,INR,Approved,VISA,279745,B29,E1021
TXN200063,2026-07-28 17:11:00,BR146,POS1003,C305624,Mastercard,Pharmacy,Bengaluru,42946.17,INR,Approved,MC,455799,B08,E1039
TXN200064,2026-07-17 08:23:00,BR102,POS1108,C221018,Visa,Grocery,Bengaluru,59670.06,INR,Approved,MC,978116,B01,E1114
TXN200065,2026-07-22 11:37:00,BR111,POS1182,C253279,RuPay,Travel,Mumbai,43302.24,INR,Approved,MC,441161,B20,E1175
TXN200066,2026-07-01 12:49:00,BR127,POS1106,C638737,RuPay,Pharmacy,Chennai,44653.61,INR,Approved,MC,846575,B28,E1195
TXN200067,2026-07-16 02:48:00,BR145,POS1192,C656258,Mastercard,Pharmacy,Pune,54621.51,INR,Approved,VISA,839438,B29,E1121
TXN200068,2026-07-27 22:18:00,BR140,POS1164,C643560,Mastercard,ATM,Chennai,32639.5,INR,Approved,NPCI,427622,B04,E1318
TXN200069,2026-07-06 06:49:00,BR137,POS1054,C306390,RuPay,ATM,Kolkata,44790.41,INR,Approved,VISA,721124,B20,E1158
TXN200070,2026-07-07 18:07:00,BR147,POS1027,C958665,RuPay,Pharmacy,Kolkata,32502.32,INR,Approved,MC,994006,B30,E1226
TXN200071,2026-07-19 08:57:00,BR137,POS1187,C574037,Visa,Electronics,Kolkata,63128.04,INR,Approved,VISA,627658,B28,E1161
TXN200072,2026-07-12 23:08:00,BR101,POS1149,C470701,Visa,Dining,Pune,38432.28,INR,Approved,MC,943507,B22,E1203
TXN200073,2026-07-16 11:28:00,BR109,POS1060,C598981,Visa,ATM,Bengaluru,60623.37,INR,Reversed,NPCI,928891,B24,E1313
TXN200074,2026-07-03 00:28:00,BR109,POS1070,C520693,Mastercard,Fashion,Kolkata,27551.85,INR,Approved,MC,206790,B19,E1324
TXN200075,2026-07-29 10:26:00,BR148,POS1039,C962843,RuPay,Pharmacy,Chennai,1715.1,INR,Reversed,MC,732515,B22,E1139
TXN200076,2026-07-13 18:57:00,BR140,POS1088,C594558,RuPay,Grocery,Delhi,58507.88,INR,Declined,VISA,625668,B11,E1109
TXN200077,2026-07-11 03:38:00,BR116,POS1182,C264594,Visa,Electronics,Delhi,20697.99,INR,Approved,NPCI,897553,B06,E1398
TXN200078,2026-07-05 15:18:00,BR132,POS1028,C437150,Visa,ATM,Hyderabad,17280.12,INR,Declined,VISA,663820,B13,E1346
TXN200079,2026-07-26 06:06:00,BR145,POS1057,C752497,Mastercard,Travel,Chennai,4148.95,INR,Approved,MC,710404,B09,E1072
TXN200080,2026-07-28 05:15:00,BR118,POS1011,C500272,Mastercard,Grocery,Visakhapatnam,74469.01,INR,Approved,NPCI,104636,B22,E1167
TXN200081,2026-07-21 03:36:00,BR121,POS1132,C411815,RuPay,ATM,Delhi,51971.53,INR,Approved,NPCI,470484,B26,E1114
TXN200082,2026-07-25 18:27:00,BR147,POS1038,C383357,Mastercard,ATM,Visakhapatnam,58805.27,INR,Approved,VISA,780151,B11,E1221
TXN200083,2026-07-28 12:51:00,BR141,POS1093,C333784,Visa,Dining,Mumbai,66602.15,INR,Approved,NPCI,567775,B11,E1056
TXN200084,2026-07-29 20:28:00,BR138,POS1010,C843924,Mastercard,Fashion,Kolkata,65396.04,INR,Approved,NPCI,897137,B27,E1346
TXN200085,2026-07-09 11:08:00,BR141,POS1193,C957761,Visa,Fashion,Mumbai,42198.52,INR,Approved,VISA,576640,B21,E1149
TXN200086,2026-07-30 10:39:00,BR145,POS1067,C921104,RuPay,Electronics,Chennai,55551.68,INR,Approved,MC,260560,B16,E1251
TXN200087,2026-07-04 02:17:00,BR109,POS1076,C343645,Mastercard,Grocery,Delhi,5578.72,INR,Approved,MC,862069,B13,E1011
TXN200088,2026-07-09 16:24:00,BR139,POS1136,C551204,Mastercard,Fuel,Pune,7832.33,INR,Reversed,NPCI,423528,B29,E1274
TXN200089,2026-07-24 21:13:00,BR141,POS1104,C341425,Visa,Travel,Chennai,51149.35,INR,Approved,VISA,857108,B13,E1378
TXN200090,2026-07-19 19:23:00,BR118,POS1118,C388029,Visa,Utilities,Visakhapatnam,55692.99,INR,Approved,NPCI,319399,B08,E1326
TXN200091,2026-07-29 22:49:00,BR102,POS1124,C227319,Visa,Travel,Kolkata,11871.0,INR,Approved,MC,942132,B13,E1334
TXN200092,2026-07-28 18:54:00,BR109,POS1113,C644177,Mastercard,Grocery,Bengaluru,69395.71,INR,Approved,MC,739337,B05,E1284
TXN200093,2026-07-29 07:05:00,BR140,POS1064,C387145,RuPay,Grocery,Visakhapatnam,45593.23,INR,Approved,NPCI,238004,B23,E1397
TXN200094,2026-07-26 01:04:00,BR148,POS1022,C568358,RuPay,Fashion,Pune,4951.31,INR,Approved,MC,860179,B23,E1250
TXN200095,2026-07-03 01:31:00,BR133,POS1157,C116086,RuPay,Pharmacy,Pune,16228.64,INR,Approved,VISA,923432,B12,E1291
TXN200096,2026-07-07 08:53:00,BR131,POS1199,C643518,Mastercard,Fuel,Pune,9160.76,INR,Declined,MC,276655,B27,E1118
TXN200097,2026-07-20 15:59:00,BR120,POS1080,C857452,RuPay,Travel,Mumbai,71919.48,INR,Approved,MC,598128,B31,E1353
TXN200098,2026-07-04 13:51:00,BR109,POS1017,C439658,RuPay,Grocery,Delhi,20438.89,INR,Declined,MC,670113,B06,E1172
TXN200099,2026-07-29 23:31:00,BR145,POS1049,C136350,Visa,Fuel,Visakhapatnam,60401.69,INR,Approved,NPCI,235099,B22,E1141
TXN200100,2026-07-27 19:41:00,BR101,POS1069,C319433,Visa,Fuel,Mumbai,9509.78,INR,Approved,VISA,657868,B13,E1296
TXN200101,2026-07-27 00:14:00,BR130,POS1165,C112227,RuPay,Grocery,Hyderabad,36066.22,INR,Approved,VISA,846345,B07,E1062
TXN200102,2026-07-20 18:57:00,BR146,POS1086,C519936,RuPay,Dining,Kolkata,46532.86,INR,Approved,NPCI,215789,B29,E1163
TXN200103,2026-07-04 01:09:00,BR112,POS1023,C979655,Mastercard,Utilities,Hyderabad,566.66,INR,Approved,VISA,513465,B13,E1099
TXN200104,2026-07-13 15:45:00,BR124,POS1122,C310744,Visa,Pharmacy,Hyderabad,12588.92,INR,Approved,NPCI,552026,B23,E1313
TXN200105,2026-07-14 05:48:00,BR112,POS1188,C358038,Visa,Utilities,Kolkata,37067.66,INR,Declined,MC,599272,B25,E1100
TXN200106,2026-07-30 15:43:00,BR119,POS1068,C747268,Mastercard,Fashion,Chennai,17686.43,INR,Declined,VISA,943738,B11,E1288
TXN200107,2026-07-26 23:01:00,BR117,POS1040,C150701,RuPay,Travel,Hyderabad,52628.03,INR,Reversed,VISA,420881,B16,E1384
TXN200108,2026-07-04 12:26:00,BR146,POS1174,C798324,Mastercard,Electronics,Hyderabad,69415.27,INR,Approved,NPCI,968682,B01,E1094
TXN200109,2026-07-18 16:56:00,BR138,POS1138,C724976,RuPay,Dining,Bengaluru,55302.71,INR,Approved,VISA,337622,B27,E1262
TXN200110,2026-07-10 07:08:00,BR149,POS1012,C884950,Mastercard,Fashion,Visakhapatnam,9927.75,INR,Approved,MC,313749,B15,E1022
TXN200111,2026-07-09 09:25:00,BR122,POS1002,C805003,Mastercard,Fuel,Delhi,42174.64,INR,Approved,NPCI,137004,B17,E1280
TXN200112,2026-07-28 02:43:00,BR123,POS1118,C477797,Visa,Grocery,Kolkata,36068.24,INR,Approved,NPCI,147331,B16,E1393
TXN200113,2026-07-17 16:02:00,BR105,POS1129,C398883,Visa,Fuel,Kolkata,45202.78,INR,Approved,MC,234954,B05,E1000
TXN200114,2026-07-26 17:01:00,BR138,POS1122,C639706,RuPay,Travel,Hyderabad,54764.73,INR,Approved,VISA,131049,B08,E1100
TXN200115,2026-07-01 19:54:00,BR120,POS1049,C696118,Mastercard,Fashion,Pune,60488.28,INR,Approved,VISA,640047,B16,E1198
TXN200116,2026-07-08 17:52:00,BR116,POS1072,C417277,Visa,Fashion,Pune,55158.71,INR,Approved,MC,358015,B18,E1100
TXN200117,2026-07-15 16:35:00,BR112,POS1135,C657412,RuPay,Grocery,Pune,34573.59,INR,Approved,MC,808418,B18,E1300
TXN200118,2026-07-13 11:11:00,BR126,POS1096,C496472,Mastercard,Utilities,Visakhapatnam,581.2,INR,Approved,NPCI,446270,B21,E1233
TXN200119,2026-07-26 20:29:00,BR116,POS1192,C122946,Visa,Grocery,Hyderabad,24954.11,INR,Approved,NPCI,942654,B19,E1039
TXN200120,2026-07-23 10:56:00,BR138,POS1194,C285999,RuPay,Fuel,Delhi,34296.58,INR,Approved,MC,800871,B11,E1353
TXN200121,2026-07-01 16:49:00,BR132,POS1196,C100070,Mastercard,ATM,Hyderabad,1257.23,INR,Approved,MC,597259,B05,E1278
TXN200122,2026-07-21 01:32:00,BR126,POS1101,C169557,Mastercard,Travel,Bengaluru,42343.87,INR,Approved,MC,243688,B25,E1116
TXN200123,2026-07-08 07:59:00,BR124,POS1146,C989893,RuPay,Utilities,Pune,13752.66,INR,Approved,VISA,551615,B02,E1217
TXN200124,2026-07-29 20:24:00,BR139,POS1175,C721623,Mastercard,Dining,Chennai,63354.3,INR,Approved,MC,235828,B12,E1039
TXN200125,2026-07-03 01:49:00,BR132,POS1052,C601219,Visa,Travel,Bengaluru,74119.3,INR,Approved,MC,861693,B10,E1333
TXN200126,2026-07-21 07:03:00,BR101,POS1105,C262790,Visa,Dining,Kolkata,69446.25,INR,Declined,NPCI,257172,B01,E1295
TXN200127,2026-07-27 22:39:00,BR146,POS1084,C281617,Mastercard,Electronics,Mumbai,45031.3,INR,Approved,VISA,117235,B05,E1369
TXN200128,2026-07-06 18:45:00,BR147,POS1044,C589889,Mastercard,ATM,Chennai,74989.58,INR,Approved,NPCI,996242,B06,E1234
TXN200129,2026-07-26 19:44:00,BR136,POS1178,C165091,Mastercard,Grocery,Chennai,494.73,INR,Approved,NPCI,307945,B23,E1364
TXN200130,2026-07-20 22:28:00,BR143,POS1192,C774592,Visa,Fashion,Pune,40224.23,INR,Approved,NPCI,934927,B20,E1106
TXN200131,2026-07-21 15:52:00,BR134,POS1110,C309639,RuPay,Grocery,Visakhapatnam,39862.21,INR,Approved,VISA,369286,B06,E1107
TXN200132,2026-07-22 19:37:00,BR113,POS1163,C790147,Visa,Travel,Kolkata,52135.2,INR,Approved,VISA,659114,B17,E1030
TXN200133,2026-07-30 09:48:00,BR139,POS1082,C420055,RuPay,Dining,Bengaluru,35027.15,INR,Approved,MC,471348,B14,E1271
TXN200134,2026-07-05 15:45:00,BR124,POS1035,C428412,RuPay,Travel,Hyderabad,48210.58,INR,Approved,VISA,305946,B18,E1194
TXN200135,2026-07-07 18:06:00,BR135,POS1006,C873172,Mastercard,Pharmacy,Kolkata,72295.79,INR,Approved,NPCI,787379,B06,E1160
TXN200136,2026-07-05 09:51:00,BR114,POS1071,C880420,Visa,Grocery,Kolkata,13803.89,INR,Reversed,NPCI,424153,B26,E1064
TXN200137,2026-07-23 07:04:00,BR126,POS1003,C872494,Visa,Utilities,Chennai,64972.04,INR,Approved,MC,364428,B06,E1307
TXN200138,2026-07-17 17:03:00,BR103,POS1140,C521091,RuPay,Fuel,Pune,64563.2,INR,Approved,VISA,669258,B21,E1395
TXN200139,2026-07-24 01:29:00,BR115,POS1017,C625044,Mastercard,Fashion,Hyderabad,74236.3,INR,Approved,NPCI,569621,B18,E1102
TXN200140,2026-07-26 22:42:00,BR132,POS1144,C786849,RuPay,Fashion,Pune,67091.72,INR,Declined,MC,544483,B19,E1331
TXN200141,2026-07-25 15:17:00,BR110,POS1112,C670988,Mastercard,Pharmacy,Hyderabad,39657.94,INR,Approved,NPCI,660007,B06,E1105
TXN200142,2026-07-23 12:45:00,BR149,POS1152,C617500,Mastercard,Grocery,Chennai,1708.84,INR,Approved,MC,803986,B23,E1220
TXN200143,2026-07-10 11:03:00,BR135,POS1025,C153418,Visa,Grocery,Mumbai,63085.39,INR,Approved,NPCI,426909,B21,E1014
TXN200144,2026-07-23 03:41:00,BR133,POS1042,C488848,RuPay,Electronics,Bengaluru,40950.65,INR,Approved,MC,248210,B25,E1268
TXN200145,2026-07-17 08:16:00,BR126,POS1021,C891704,RuPay,Dining,Hyderabad,69781.39,INR,Approved,MC,462035,B28,E1370
TXN200146,2026-07-07 10:39:00,BR128,POS1159,C973674,Visa,ATM,Delhi,15639.32,INR,Approved,MC,499278,B01,E1288
TXN200147,2026-07-18 18:03:00,BR113,POS1058,C191633,Visa,Pharmacy,Delhi,17943.31,INR,Declined,MC,208320,B13,E1305
TXN200148,2026-07-07 01:48:00,BR103,POS1023,C215285,RuPay,Fashion,Pune,58366.97,INR,Approved,VISA,896459,B25,E1328
TXN200149,2026-07-22 21:05:00,BR106,POS1160,C788648,RuPay,Dining,Bengaluru,52036.57,INR,Approved,NPCI,833615,B01,E1380
TXN200150,2026-07-04 03:19:00,BR108,POS1142,C186752,Visa,Grocery,Mumbai,34165.89,INR,Approved,MC,874968,B20,E1229
TXN200151,2026-07-23 13:27:00,BR139,POS1120,C466931,RuPay,ATM,Delhi,53858.73,INR,Approved,MC,205191,B14,E1259
TXN200152,2026-07-09 01:12:00,BR149,POS1052,C834271,Visa,Travel,Bengaluru,15976.52,INR,Approved,NPCI,472797,B01,E1104
TXN200153,2026-07-26 03:05:00,BR148,POS1066,C561380,Visa,Fashion,Bengaluru,63339.45,INR,Approved,VISA,909124,B17,E1294
TXN200154,2026-07-16 21:02:00,BR139,POS1073,C794551,RuPay,Travel,bangalore,68667.93,INR,Approved,VISA,903670,B14,E1060
TXN200155,2026-07-25 13:48:00,BR140,POS1082,C239661,Visa,Fuel,Hyderabad,51174.24,INR,Declined,NPCI,283522,B17,E1071
TXN200156,2026-07-25 03:22:00,BR105,POS1076,C101459,RuPay,Utilities,Chennai,12210.28,INR,Approved,NPCI,199698,B04,E1193
TXN200157,2026-07-07 03:29:00,BR111,POS1116,C619421,Visa,ATM,Hyderabad,43368.14,INR,Approved,NPCI,850521,B17,E1163
TXN200158,2026-07-06 22:01:00,BR131,POS1159,C443233,RuPay,Electronics,Kolkata,53528.16,INR,Approved,MC,649632,B25,E1290
TXN200159,2026-07-09 07:52:00,BR116,POS1107,C476849,Mastercard,Fuel,Bengaluru,39670.5,INR,Approved,MC,226930,B16,E1212
TXN200160,2026-07-16 19:33:00,BR138,POS1065,C650320,Visa,ATM,Visakhapatnam,8329.93,INR,Approved,MC,120233,B25,E1007
TXN200161,2026-07-02 07:33:00,BR145,POS1002,C282949,Visa,Fashion,Mumbai,35206.45,INR,Approved,NPCI,654493,B24,E1109
TXN200162,2026-07-02 17:36:00,BR125,POS1199,C853649,RuPay,Grocery,Hyderabad,9107.2,INR,Approved,MC,938061,B25,E1072
TXN200163,2026-07-13 19:29:00,BR106,POS1079,C573606,Mastercard,Pharmacy,Mumbai,72759.1,INR,Declined,VISA,460969,B14,E1323
TXN200164,2026-07-26 05:52:00,BR149,POS1046,C773009,RuPay,Electronics,Hyderabad,4987.34,INR,Approved,VISA,347281,B10,E1027
TXN200165,2026-07-16 15:42:00,BR117,POS1144,C551809,Visa,Fashion,Delhi,20728.59,INR,Approved,NPCI,682862,B22,E1309
TXN200166,2026-07-03 16:09:00,BR137,POS1008,C761390,Mastercard,Electronics,Pune,25614.28,INR,Reversed,MC,569312,B02,E1278
TXN200167,2026-07-20 08:30:00,BR128,POS1026,C350824,Mastercard,Travel,Delhi,35218.96,INR,Approved,VISA,260265,B22,E1366
TXN200168,2026-07-21 10:51:00,BR141,POS1026,C946537,Mastercard,Pharmacy,Kolkata,73583.53,INR,Approved,MC,387819,B22,E1288
TXN200169,2026-07-12 12:32:00,BR129,POS1033,C652872,Mastercard,Dining,Visakhapatnam,52296.68,INR,Approved,NPCI,198945,B31,E1087
TXN200170,2026-07-22 13:45:00,BR135,POS1003,C180651,Mastercard,Electronics,Chennai,1572.62,INR,Approved,VISA,837313,B28,E1142
TXN200171,2026-07-13 19:35:00,BR108,POS1021,C687799,Mastercard,Electronics,Mumbai,13350.36,INR,Declined,VISA,967051,B26,E1184
TXN200172,2026-07-02 16:17:00,BR126,POS1093,C612806,RuPay,Fuel,Bengaluru,6391.68,INR,Reversed,NPCI,965112,B04,E1352
TXN200173,2026-07-12 21:31:00,BR119,POS1041,C398184,Visa,Travel,Chennai,54178.4,INR,Reversed,MC,463875,B22,E1086
TXN200174,2026-07-07 01:23:00,BR116,POS1108,C784321,Visa,Utilities,Pune,20439.42,INR,Approved,VISA,405489,B17,E1154
TXN200175,2026-07-08 07:10:00,BR136,POS1167,C297386,Visa,Grocery,Chennai,44839.45,INR,Approved,MC,778309,B14,E1329
TXN200176,2026-07-11 00:30:00,BR149,POS1081,C565676,RuPay,Dining,Mumbai,23882.23,INR,Approved,VISA,631425,B01,E1168
TXN200177,2026-07-01 16:15:00,BR149,POS1036,C899678,RuPay,Travel,Delhi,5347.4,INR,Approved,MC,723515,B02,E1022
TXN200178,2026-07-03 01:16:00,BR138,POS1095,C356302,Visa,Grocery,Chennai,25555.69,INR,Reversed,VISA,733943,B02,E1126
TXN200179,2026-07-20 11:23:00,BR140,POS1196,C532836,Mastercard,Fuel,Kolkata,59006.26,INR,Approved,MC,130603,B18,E1091
TXN200180,2026-07-22 02:47:00,BR125,POS1166,C288949,Mastercard,Travel,Visakhapatnam,23390.26,INR,Reversed,MC,683335,B29,E1228
TXN200181,2026-07-26 09:14:00,BR145,POS1099,C735277,RuPay,Electronics,Pune,32259.32,INR,Approved,VISA,706255,B14,E1042
TXN200182,2026-07-04 18:03:00,BR129,POS1106,C236026,Mastercard,Travel,Kolkata,8757.32,INR,Approved,VISA,880514,B10,E1171
TXN200183,2026-07-27 01:01:00,BR119,POS1186,C233337,Mastercard,Grocery,Mumbai,14785.71,INR,Approved,NPCI,222012,B08,E1058
TXN200184,2026-07-15 19:56:00,BR142,POS1025,C649316,Visa,Utilities,Kolkata,64302.22,INR,Approved,MC,107308,B27,E1011
TXN200185,2026-07-12 12:18:00,BR124,POS1190,C118146,Visa,Fashion,Visakhapatnam,41031.18,INR,Approved,NPCI,735602,B07,E1156
TXN200186,2026-07-24 16:41:00,BR148,POS1195,C650042,Mastercard,ATM,Hyderabad,62554.44,INR,Approved,NPCI,902519,B02,E1389
